Number,Algorithm,Size,Density,Time
732,BFS,150,0,8,12
733,DFS,150,0,8,12
734,BFS,150,0,8,12
735,DFS,150,0,8,12
736,BFS,150,0,8,12
737,DFS,150,0,8,12
738,BFS,150,0,8,13
739,DFS,150,0,8,12
740,BFS,150,0,8,12
741,DFS,150,0,8,12
742,BFS,150,0,8,12
743,DFS,150,0,8,12
744,BFS,150,0,8,12
745,DFS,150,0,8,12
746,BFS,150,0,8,12
747,DFS,150,0,8,12
748,BFS,150,0,8,12
749,DFS,150,0,8,12
750,BFS,150,0,8,12
751,DFS,150,0,8,12
752,BFS,150,0,8,12
753,DFS,150,0,8,12
754,BFS,150,0,8,12
755,DFS,150,0,8,12
756,BFS,150,0,8,13
757,DFS,150,0,8,12
758,BFS,150,0,8,12
759,DFS,150,0,8,12
760,BFS,150,1,12
761,DFS,150,1,12
762,BFS,150,1,12
763,DFS,150,1,12
764,BFS,150,1,12
765,DFS,150,1,12
766,BFS,150,1,12
767,DFS,150,1,12
768,BFS,150,1,12
769,DFS,150,1,12
770,BFS,150,1,12
771,DFS,150,1,12
772,BFS,150,1,12
773,DFS,150,1,12
774,BFS,150,1,12
775,DFS,150,1,12
776,BFS,150,1,12
777,DFS,150,1,12
778,BFS,150,1,12
779,DFS,150,1,12
780,BFS,150,1,12
781,DFS,150,1,12
782,BFS,150,1,12
783,DFS,150,1,12
784,BFS,150,1,12
785,DFS,150,1,12
786,BFS,150,1,12
787,DFS,150,1,12
788,BFS,150,1,12
789,DFS,150,1,12
790,BFS,150,1,12
791,DFS,150,1,12
792,BFS,150,1,12
793,DFS,150,1,12
794,BFS,150,1,12
795,DFS,150,1,12
796,BFS,150,1,12
797,DFS,150,1,12
798,BFS,150,1,13
799,DFS,150,1,12
800,BFS,170,0,2,17
801,DFS,170,0,2,17
802,BFS,170,0,2,17
803,DFS,170,0,2,17
804,BFS,170,0,2,17
805,DFS,170,0,2,17
806,BFS,170,0,2,17
807,DFS,170,0,2,17
808,BFS,170,0,2,17
809,DFS,170,0,2,17
810,BFS,170,0,2,17
811,DFS,170,0,2,17
812,BFS,170,0,2,17
813,DFS,170,0,2,18
814,BFS,170,0,2,17
815,DFS,170,0,2,17
816,BFS,170,0,2,17
817,DFS,170,0,2,17
818,BFS,170,0,2,17
819,DFS,170,0,2,17
820,BFS,170,0,2,17
821,DFS,170,0,2,17
822,BFS,170,0,2,17
823,DFS,170,0,2,17
824,BFS,170,0,2,17
825,DFS,170,0,2,17
826,BFS,170,0,2,17
827,DFS,170,0,2,18
828,BFS,170,0,2,17
829,DFS,170,0,2,17
830,BFS,170,0,2,17
831,DFS,170,0,2,18
832,BFS,170,0,2,18
833,DFS,170,0,2,17
834,BFS,170,0,2,17
835,DFS,170,0,2,17
836,BFS,170,0,2,17
837,DFS,170,0,2,17
838,BFS,170,0,2,17
839,DFS,170,0,2,17
840,BFS,170,0,4,17
841,DFS,170,0,4,17
842,BFS,170,0,4,17
843,DFS,170,0,4,17
844,BFS,170,0,4,17
845,DFS,170,0,4,17
846,BFS,170,0,4,17
847,DFS,170,0,4,18
848,BFS,170,0,4,17
849,DFS,170,0,4,17
850,BFS,170,0,4,17
851,DFS,170,0,4,17
852,BFS,170,0,4,17
853,DFS,170,0,4,17
854,BFS,170,0,4,17
855,DFS,170,0,4,17
856,BFS,170,0,4,17
857,DFS,170,0,4,17
858,BFS,170,0,4,17
859,DFS,170,0,4,17
860,BFS,170,0,4,17
861,DFS,170,0,4,18
862,BFS,170,0,4,17
863,DFS,170,0,4,17
864,BFS,170,0,4,17
865,DFS,170,0,4,17
866,BFS,170,0,4,17
867,DFS,170,0,4,17
868,BFS,170,0,4,17
869,DFS,170,0,4,17
870,BFS,170,0,4,17
871,DFS,170,0,4,17
872,BFS,170,0,4,17
873,DFS,170,0,4,17
874,BFS,170,0,4,17
875,DFS,170,0,4,18
876,BFS,170,0,4,17
877,DFS,170,0,4,17
878,BFS,170,0,4,17
879,DFS,170,0,4,17
880,BFS,170,0,6,18
881,DFS,170,0,6,17
882,BFS,170,0,6,17
883,DFS,170,0,6,17
884,BFS,170,0,6,17
885,DFS,170,0,6,17
886,BFS,170,0,6,17
887,DFS,170,0,6,17
888,BFS,170,0,6,17
889,DFS,170,0,6,17
890,BFS,170,0,6,17
891,DFS,170,0,6,18
892,BFS,170,0,6,17
893,DFS,170,0,6,17
894,BFS,170,0,6,17
895,DFS,170,0,6,18
896,BFS,170,0,6,17
897,DFS,170,0,6,17
898,BFS,170,0,6,17
899,DFS,170,0,6,17
900,BFS,170,0,6,17
901,DFS,170,0,6,17
902,BFS,170,0,6,17
903,DFS,170,0,6,17
904,BFS,170,0,6,17
905,DFS,170,0,6,17
906,BFS,170,0,6,17
907,DFS,170,0,6,17
908,BFS,170,0,6,17
909,DFS,170,0,6,18
910,BFS,170,0,6,17
911,DFS,170,0,6,17
912,BFS,170,0,6,17
913,DFS,170,0,6,17
914,BFS,170,0,6,17
915,DFS,170,0,6,17
916,BFS,170,0,6,17
917,DFS,170,0,6,17
918,BFS,170,0,6,17
919,DFS,170,0,6,17
920,BFS,170,0,8,17
921,DFS,170,0,8,17
922,BFS,170,0,8,17
923,DFS,170,0,8,18
924,BFS,170,0,8,18
925,DFS,170,0,8,18
926,BFS,170,0,8,17
927,DFS,170,0,8,17
928,BFS,170,0,8,18
929,DFS,170,0,8,17
